xid,name,rate,osm,wikidata,kinds,longitude,latitude,country
N1065083094,Torna,7.0,node/1065083094,Q7825964,"mountain_peaks,fortifications,historic,geological_formations,natural,interesting_places,other_fortifications",73.6226,18.2757,India
N1066858883,Gables Takoma Park,7.0,node/1066858883,Q7678466,"historical_places,historic,interesting_places,historic_districts",-77.0188,38.9757,United States
N1069322494,Yesemek,7.0,node/1069322494,Q26959195,"historic,historical_places,archaeology,interesting_places,other_archaeological_sites,historic_settlements",36.7435,36.9046,Turquía
N1082381448,Zarautz,7.0,node/1082381448,Q5785590,"religion,architecture,historic_architecture,monasteries,interesting_places,foods,fast_food,tourist_facilities,other_buildings_and_structures",-2.17556,43.2868,España
N1083968158,Monasterio de San Isidoro del Campo,7.0,node/1083968158,Q778571,"religion,monasteries,interesting_places",-6.03643,37.4346,España
N1088903121,Museo Ferroviario Baquedano,7.0,node/1088903121,Q4075872,"railway_stations,historic,museums,museums_of_science_and_technology,railway_museums,industrial_facilities,monuments_and_memorials,cultural,interesting_places,monuments",-69.8392,-23.3352,Chile
N1088903417,Oficina Salitrera Chacabuco,7.0,node/1088903417,Q5066042,"view_points,other,architecture,historic_architecture,interesting_places,destroyed_objects",-69.6185,-23.144,Chile
N1088991258,San Francisco,7.0,node/1088991258,Q16577683,"religion,churches,interesting_places,other_churches",-68.6505,-22.3429,Argentina
N1089071728,Caspana,7.0,node/1089071728,Q62055393,"view_points,other,religion,churches,interesting_places,other_churches",-68.2137,-22.331,Chile
N1092481040,Lanslevillard,7.0,node/1092481040,Q3583203,"religion,churches,interesting_places,other_churches",6.91123,45.2896,France
N1092607007,Cerro Sombrero,7.0,node/1092607007,Q1006493,"historic,historical_places,interesting_places,historic_settlements",-69.2909,-52.7765,Chile
N1100191462,Grawa Wasserfall,7.0,node/1100191462,Q1544013,"water,natural,interesting_places,waterfalls",11.1902,47.012,Austria
N1102444727,Schloss Hilfikon,7.0,node/1102444727,Q2241557,"religion,fortifications,historic,churches,interesting_places,castles,other_churches",8.24691,47.3307,Alemania
N1109077167,Jahangiri Mahal,7.0,node/1109077167,Q6123161,"palaces,architecture,historic_architecture,fortifications,historic,interesting_places,other_fortifications",78.6442,25.3506,India
N1113577351,Flüelen railway station,7.0,node/1113577351,Q800758,"railway_stations,industrial_facilities,interesting_places",8.62401,46.9019,Alemania
N1115443794,Museo Antiguo Hospital Militar,1.0,node/1115443794,-1,"cultural,museums,interesting_places,other_museums",-78.507,-0.211384,Ecuador
N1118107678,North Broad,7.0,node/1118107678,Q7054296,"railway_stations,industrial_facilities,interesting_places",-75.1539,39.9922,United States
N1121807213,Stanley Prison,7.0,node/1121807213,Q16242214,"railway_stations,industrial_facilities,religion,mosques,interesting_places",114.218,22.2154,China
N1124066634,Faro Recalada,7.0,node/1124066634,Q2378178,"lighthouses,towers,architecture,interesting_places,other_towers",-61.2599,-38.9908,Argentina
N1125282758,Zarzma monastery,7.0,node/1125282758,Q1586089,"religion,monasteries,interesting_places",42.6538,41.6797,Geogia
N1127412522,San Juan Hill,1.0,node/1127412522,-1,"mountain_peaks,geological_formations,natural,interesting_places",-79.5821,8.95393,Panamá
N1132091660,San Francisco,7.0,node/1132091660,Q26823266,"religion,churches,monasteries,interesting_places,catholic_churches",-71.5349,-16.3951,Argentina
N1136486810,Liebfrauenberg,7.0,node/1136486810,Q19860720,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.98934,49.1074,Alemania
N1139545898,Statue du Christ-Roi,7.0,node/1139545898,Q805439,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",7.43757,46.2731,Alemania
N1140862123,Église Saint-Melaine de Meslan,7.0,node/1140862123,Q3580619,"fountains,religion,churches,cultural,urban_environment,interesting_places,other_churches",-3.43406,47.9946,France
N1141482187,Kecharis Monastery,7.0,node/1141482187,Q533496,"religion,churches,monasteries,interesting_places,other_churches",44.7163,40.5339,Armenia
N1141919810,Naksansa,7.0,node/1141919810,Q562760,"religion,buddhist_temples,interesting_places",128.628,38.1246,Corea del Sur
N1143026952,Ruinas Jesuiticas de Santa Ana,7.0,node/1143026952,Q2092494,"architecture,historic_architecture,historic,historical_places,archaeology,cultural,museums,interesting_places,destroyed_objects,other_museums,other_archaeological_sites,historic_settlements",-55.5806,-27.3884,Argentina
N1143796193,Saro Elementary School,7.0,node/1143796193,Q4150563,"megaliths,historic,historical_places,archaeology,interesting_places,historic_settlements",43.2804,41.5032,Geogia
N1143796273,Virgin Mary Church,7.0,node/1143796273,Q691813,"religion,monasteries,interesting_places",43.2847,41.3813,Geogia
N1147401858,Chule,7.0,node/1147401858,Q5116114,"religion,monasteries,interesting_places",42.7022,41.7035,Geogia
N1150326659,Wat Kok,7.0,node/1150326659,Q66362085,"religion,buddhist_temples,interesting_places",100.449,13.6746,Tailandia
N1150373723,Wat Kamphaeng,7.0,node/1150373723,Q66361516,"religion,buddhist_temples,interesting_places",100.448,13.679,Tailandia
N1150373926,Wat Kamphaeng School,7.0,node/1150373926,Q66361516,"religion,buddhist_temples,interesting_places",100.447,13.679,Tailandia
N1152642162,Vale Virgin Mary Orthodox Church,7.0,node/1152642162,Q25543380,"religion,churches,interesting_places,other_churches",42.8665,41.6166,Geogia
N1160892219,Sir Henry Campbell Bannerman,7.0,node/1160892219,Q17842911,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,war_memorials,sculptures,monuments",-3.93994,56.1179,United Kingdom
N1163203519,Ruine Gilgenberg,7.0,node/1163203519,Q2175270,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.60819,47.3822,Alemania
N1165162987,Phuket Thai Hua Museum,7.0,node/1165162987,Q64555724,"cultural,museums,interesting_places,other_museums",98.3869,7.8856,Tailandia
N1167836696,Tung Chung Battery,7.0,node/1167836696,Q7852976,"fortifications,historic,interesting_places,other_fortifications",113.936,22.2873,China
N1168038803,Bismarckturm,7.0,node/1168038803,Q866549,"view_points,other,towers,architecture,historic,monuments_and_memorials,interesting_places,observation_towers,monuments",7.56163,49.4123,Alemania
N117081598,Lighthouse La Jument,7.0,node/117081598,Q1809044,"lighthouses,architecture,towers,interesting_places,other_towers",-5.1339,48.4222,France
N117367378,Wörth (Rhein) station,7.0,node/117367378,Q15107313,"railway_stations,industrial_facilities,interesting_places",8.27315,49.0457,Alemania
N1176787065,Joly de Lotbinière Estate,7.0,node/1176787065,Q3034372,"architecture,historic_architecture,gardens_and_parks,cultural,urban_environment,natural,interesting_places,nature_reserves,manor_houses,other_nature_conservation_areas",-71.8476,46.6675,Canada
N1176960988,Forte de Santa Luzia,7.0,node/1176960988,Q10283905,"fortifications,historic,interesting_places,castles",-7.15848,38.873,Portugal
N1179612377,St. Demetre Church of Velispiri,7.0,node/1179612377,Q66916270,"religion,churches,interesting_places,other_churches",44.1048,41.4781,Geogia
N1179615170,Bolnisi Sioni,7.0,node/1179615170,Q247588,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches,catholic_churches",44.5128,41.389,Geogia
N1179616747,St. Demetre Church of Velispiri,7.0,node/1179616747,Q66916270,"religion,churches,interesting_places,other_churches",44.1034,41.4798,Geogia
N1179835155,Marugame Castle CastleTower,7.0,node/1179835155,Q250658,"fortifications,historic,interesting_places,castles",133.8,34.2863,Japón
N1180697693,James Watt,7.0,node/1180697693,Q17567460,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",-4.25121,55.861,United Kingdom
N1184306054,Iwami Ginzan Silver Mine,7.0,node/1184306054,Q174139,"industrial_facilities,mineshafts,architecture,historic_architecture,historic,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",132.445,35.1138,Japón
N1184567021,Cerro Pintado,3.0,node/1184567021,Q257173,"mountain_peaks,geological_formations,natural,interesting_places",-72.9047,10.3359,Colombia
N1187703133,Vivier Maritime gallo-romain,7.0,node/1187703133,Q13518439,"historic,archaeology,water,natural,interesting_places,other_archaeological_sites,other_lakes",6.71891,43.358,France
N1189577738,Wat Ratchanaddaram School,7.0,node/1189577738,Q1554856,"religion,buddhist_temples,interesting_places",100.504,13.7554,Tailandia
N1195241593,Steinkreuz Feucht 2,7.0,node/1195241593,Q41806869,"religion,other_temples,historic,monuments_and_memorials,interesting_places,monuments",11.2168,49.3717,Alemania
N1197363523,Locust Point,7.0,node/1197363523,Q6666145,"historical_places,historic,interesting_places,historic_districts",-76.5918,39.27,United States
N1199464727,Burg Rabeneck (Dillweißenstein),7.0,node/1199464727,Q1015462,"fortifications,historic,interesting_places,castles",8.68074,48.8678,Alemania
N1200100235,Clach an Trushal Standing Stone,7.0,node/1200100235,Q1094625,"megaliths,historic,monuments_and_memorials,archaeology,interesting_places,menhirs,monuments",-6.49293,58.3934,United Kingdom
N1203448108,Kvatakhevi Monastery,7.0,node/1203448108,Q1511534,"religion,churches,monasteries,interesting_places,other_churches",44.4584,41.7934,Geogia
N1210572475,Iglesia de Santa María la Mayor,7.0,node/1210572475,Q43113584,"religion,churches,interesting_places,other_churches",-0.00295123,41.961,España
N1211820927,Tamukeyama Hachiman Shrine,7.0,node/1211820927,Q11496939,"religion,other_temples,interesting_places",135.845,34.688,Japón
N1213265257,Metro Plaza Venezuela,7.0,node/1213265257,Q5147237,"railway_stations,industrial_facilities,interesting_places",-66.882,10.4959,Venezuela
N1214175916,Casa de Neruda (La Chascona),7.0,node/1214175916,Q5962867,"cultural,museums,interesting_places,other_museums",-70.6342,-33.4312,Chile
N1216900742,Fram,7.0,node/1216900742,Q3459381,"historic,historical_places,interesting_places,historic_settlements",15.6388,46.4538,Eslovenia
N1220024447,Casa del Virrey,7.0,node/1220024447,Q22951682,"cultural,museums,interesting_places,other_museums",-75.9147,4.74984,Colombia
N1223146098,Klang Bang Kaeo Temple,7.0,node/1223146098,Q61639055,"religion,buddhist_temples,interesting_places",100.193,13.7953,Tailandia
N1223146910,Wat Klang Bang Kaeo School,7.0,node/1223146910,Q61639055,"religion,buddhist_temples,interesting_places",100.192,13.7941,Tailandia
N1224772177,Pico La Concha,3.0,node/1224772177,Q7191014,"mountain_peaks,geological_formations,natural,interesting_places",-71.0268,8.55507,Venezuela
N1225761355,Maison Gaudin,7.0,node/1225761355,Q3278746,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",6.19049,48.6885,France
N1231387299,Veliko Ubeljsko,7.0,node/1231387299,Q734770,"historic,historical_places,interesting_places,historic_settlements",14.0732,45.7717,Eslovenia
N1233731996,Cross Kirk,7.0,node/1233731996,Q2463503,"religion,architecture,historic_architecture,churches,interesting_places,destroyed_objects,other_churches",-3.1925,55.6542,United Kingdom
N1235207404,Iglesia del Buen Pastor,7.0,node/1235207404,Q34740536,"religion,churches,interesting_places,other_churches",-70.721,-32.7562,Chile
N1235745265,Oratorio di San Benedetto,7.0,node/1235745265,Q3669595,"religion,churches,interesting_places,other_churches",11.6144,44.8427,Italia
N1236937853,Faro Mar del Plata,7.0,node/1236937853,Q5856278,"lighthouses,towers,architecture,cultural,museums,interesting_places,other_museums,other_towers",-57.5449,-38.0917,Argentina
N1239235764,Planinska vas,7.0,node/1239235764,Q2835846,"historic,historical_places,interesting_places,historic_settlements",15.0316,46.1693,Eslovenia
N1241030821,Krašnji Vrh,7.0,node/1241030821,Q1959944,"historic,historical_places,interesting_places,historic_settlements",15.3495,45.7031,Eslovenia
N1242537198,El Fuerte,7.0,node/1242537198,Q5870565,"fortifications,historical_places,historic,monuments_and_memorials,interesting_places,other_fortifications,historic_settlements,monuments",-3.21585,36.9482,España
N1243321723,Torre Ancón,7.0,node/1243321723,Q43138256,"architecture,towers,fortifications,historical_places,historic,monuments_and_memorials,interesting_places,other_fortifications,watchtowers,historic_settlements,monuments",-4.93152,36.501,España
N1244779955,Dvin,7.0,node/1244779955,Q429059,"historical_places,historic,archaeology,interesting_places,other_archaeological_sites,historic_settlements",44.5764,40.0038,Armenia
N1247060163,Kurhaus,7.0,node/1247060163,Q30274663,"railway_stations,industrial_facilities,interesting_places",8.06752,50.1402,Alemania
N1253293290,Woodborough Methodist Church,7.0,node/1253293290,Q7595503,"religion,churches,interesting_places,other_churches",-1.06059,53.0233,United Kingdom
N1258954983,Museo Nacional Benjamín Vicuña Mackenna,7.0,node/1258954983,Q5390779,"cultural,museums,interesting_places,other_museums",-70.6338,-33.4412,Chile
N1264515705,Wegelnburg,7.0,node/1264515705,Q883128,"fortifications,historic,interesting_places,castles",7.78639,49.0612,Alemania
N1265448228,Natural Bridge Caverns,7.0,node/1265448228,Q10856113,"geological_formations,natural,interesting_places,nature_reserves,caves,other_nature_conservation_areas",-98.343,29.6925,United States
N1266495025,San Francisco de Mostazal,7.0,node/1266495025,Q5844736,"railway_stations,industrial_facilities,interesting_places",-70.7133,-33.9771,Chile
N1270323047,Zurich Wiedikon railway station,7.0,node/1270323047,Q679393,"railway_stations,industrial_facilities,interesting_places",8.52306,47.3717,Alemania
N1270745409,9th Avenue,7.0,node/1270745409,Q2439660,"railway_stations,industrial_facilities,interesting_places",-73.9944,40.6463,United States
N1274623366,Muñoz Mariño,1.0,node/1274623366,-1,"cultural,museums,interesting_places,other_museums",-78.5093,-0.223484,Ecuador
N1276206687,Lucca,7.0,node/1276206687,Q3078505,"fortifications,defensive_walls,historic,interesting_places",10.514,43.8433,Italia
N1276923249,Teatro Lastarria Go,7.0,node/1276923249,Q1156435,"cultural,theatres_and_entertainments,interesting_places,other_theatres",-70.6413,-33.4394,Chile
N1277885612,Susan B. Anthony Birthplace Museum,7.0,node/1277885612,Q4772743,"cultural,museums,interesting_places,other_museums",-73.1023,42.6155,United States
N1279097734,Lavagna,7.0,node/1279097734,Q1808793,"historic,historical_places,interesting_places,historic_settlements",9.44321,45.4618,Italia
N1285188119,Castillo de Trevejo,7.0,node/1285188119,Q5757654,"fortifications,historic,interesting_places,castles",-6.78053,40.1725,España
N1285547385,Faro Cabo Santa Maria,7.0,node/1285547385,Q5856382,"view_points,other,lighthouses,towers,architecture,interesting_places,other_towers",-54.1529,-34.6682,Uruguay
N1287602539,Arcagna,7.0,node/1287602539,Q3621405,"historic,historical_places,interesting_places,historic_settlements",9.45355,45.3434,Italia
N1288280679,Rezzonico,7.0,node/1288280679,Q3934044,"historic,historical_places,interesting_places,historic_settlements",9.27732,46.07,Italia
N1291189586,Gatun Locks Visitor Center,3.0,node/1291189586,Q2388548,"other,unclassified_objects,interesting_places,tourist_object",-79.9223,9.27278,Panamá
N1291928825,Old City Hall,7.0,node/1291928825,Q439501,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",-79.381,43.6523,Canada
N1297478715,Gluuri Suter Huus,7.0,node/1297478715,Q15616596,"cultural,theatres_and_entertainments,interesting_places,other_theatres",8.3306,47.4662,Alemania
N1298351995,Panama Viejo Entrada,7.0,node/1298351995,Q712335,"historic,archaeology,interesting_places,other_archaeological_sites",-79.4861,9.00841,Panamá
N1298351996,Cabildo,6.0,node/1298351996,Q42885903,"historic,archaeology,interesting_places,other_archaeological_sites",-79.4851,9.00656,Argentina
N1298352008,Convento de los Jesuitas,1.0,node/1298352008,-1,"settlements,historic,archaeology,interesting_places",-79.487,9.00695,Panamá
N1298353621,Former Saint-Jean Station,7.0,node/1298353621,Q7400675,"railway_stations,industrial_facilities,interesting_places",-73.2543,45.3031,Canada
N1304329852,Prigorica,7.0,node/1304329852,Q2856250,"historic,historical_places,interesting_places,historic_settlements",14.7495,45.7133,Eslovenia
N1306627157,Catedral de Puerto Cabello,3.0,node/1306627157,Q25414204,"religion,cathedrals,churches,interesting_places,catholic_churches",-68.0089,10.4775,Venezuela
N1307117539,Pioneer Woman Museum,7.0,node/1307117539,Q7196834,"historic,monuments_and_memorials,urban_environment,cultural,museums,interesting_places,other_museums,sculptures,monuments",-97.0649,36.7103,United States
N1310327370,Dashtadem Fortress,7.0,node/1310327370,Q18623932,"fortifications,historic,interesting_places,castles",43.8569,40.3384,Armenia
N1315455452,Casa Central del Banco República,7.0,node/1315455452,Q806203,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures",-56.2071,-34.9055,Uruguay
N1316156665,Tsilkani Basilica,7.0,node/1316156665,Q12871109,"religion,churches,interesting_places,other_churches",44.6579,41.9495,Geogia
N1316343164,Castello di Caidate,7.0,node/1316343164,Q20009103,"fortifications,historic,interesting_places,castles",8.79521,45.7548,Italia
N1318999327,Museo del Indio Guaranga,1.0,node/1318999327,-1,"cultural,museums,interesting_places,other_museums",-79.0069,-1.58824,Ecuador
N1324655919,Beçin,7.0,node/1324655919,Q2900550,"historic,historical_places,interesting_places,historic_districts",27.7978,37.2734,Turquía
N1327623331,Kapelle,7.0,node/1327623331,Q37862818,"religion,churches,interesting_places,other_churches",10.7956,47.2971,Austria
N1328096816,Barchessone vecchio,7.0,node/1328096816,Q29063087,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",11.224,44.919,Italia
N1329027607,Cantick Head,7.0,node/1329027607,Q17829260,"lighthouses,towers,architecture,interesting_places,other_towers",-3.13133,58.7871,United Kingdom
N1330676298,Winterthur Wülflingen railway station,7.0,node/1330676298,Q801620,"railway_stations,industrial_facilities,interesting_places",8.68096,47.5065,Alemania
N1337142834,Andrey Sakharov monument,7.0,node/1337142834,Q15077321,"historic,monuments_and_memorials,interesting_places,monuments",44.5171,40.1797,Armenia
N1338196845,Aleksandr Myasnikyan Monument,7.0,node/1338196845,Q16366530,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",44.5061,40.1748,Armenia
N1338196874,Stepan Shahumyan monument,7.0,node/1338196874,Q16400128,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",44.5096,40.1762,Armenia
N1342672661,Wat Phra Phutthabat Ratchaworamahawihan,7.0,node/1342672661,Q1703293,"religion,buddhist_temples,interesting_places",100.789,14.7183,Tailandia
N1345618494,Inchindown RN Underground Fuel Tanks,7.0,node/1345618494,Q17513656,"architecture,historic_architecture,interesting_places,destroyed_objects",-4.20494,57.741,United Kingdom
N1348912802,Burligo,7.0,node/1348912802,Q3647341,"historic,historical_places,interesting_places,historic_settlements",9.51576,45.7571,Italia
N1350731059,Loja interactiva de Turismo Ponte de Lima,7.0,node/1350731059,Q10351438,"roman_bridges,bridges,architecture,historic,archaeology,interesting_places,other_archaeological_sites",-8.58515,41.7673,Portugal
N1351819534,Tombeau de Merlin,7.0,node/1351819534,Q3531156,"megaliths,historic,dolmens,monuments_and_memorials,archaeology,burial_places,interesting_places,monuments",-2.11774,48.078,France
N1351920140,Monumento y Mirador Virgen de Fátima,1.0,node/1351920140,-1,"religion,other_temples,interesting_places",-78.9993,-1.70202,Ecuador
N1352886214,Rodney's Stone,7.0,node/1352886214,Q2161205,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",-3.70109,57.5975,United Kingdom
N1354779312,Arbon,7.0,node/1354779312,Q15964072,"railway_stations,industrial_facilities,interesting_places",9.43344,47.5106,Alemania
N1360598239,historic house of Inoh Tadataka,7.0,node/1360598239,Q11379714,"historic,archaeology,interesting_places,other_archaeological_sites",140.498,35.8883,Japón
N1360598300,Katori Jingu Shrine,7.0,node/1360598300,Q372380,"religion,other_temples,interesting_places",140.529,35.8862,Japón
N1362203998,Zvartnots Cathedral,7.0,node/1362203998,Q17054090,"religion,architecture,historic_architecture,cathedrals,historic,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",44.3366,40.16,Armenia
N1369987474,Shaker Museum,7.0,node/1369987474,Q5377319,"historical_places,historic,cultural,museums,interesting_places,historic_districts,open_air_museums",-72.1462,43.6201,United States
N1370799339,Phare des Barges,7.0,node/1370799339,Q2404023,"lighthouses,architecture,towers,interesting_places,other_towers",-1.84167,46.495,France
N1370799400,Phare des Dames,7.0,node/1370799400,Q3378490,"lighthouses,architecture,towers,interesting_places,other_towers",-2.22098,47.0112,France
N1370799631,Phare de la Banche,7.0,node/1370799631,Q3378463,"lighthouses,architecture,towers,interesting_places,other_towers",-2.46784,47.1771,France
N1370801434,Lighthouse Le Minou,7.0,node/1370801434,Q1364525,"view_points,other,lighthouses,architecture,towers,interesting_places,other_towers",-4.61422,48.3366,France
N1374527335,Palagnedra,7.0,node/1374527335,Q668625,"historic,historical_places,interesting_places,historic_settlements",8.63223,46.1539,Alemania
N1375271943,Acropolis of Rhodes,7.0,node/1375271943,Q3557443,"fortifications,historic,archaeology,cultural,museums,interesting_places,other_museums,other_fortifications,other_archaeological_sites",28.2128,36.4409,Grecia
N13796821,Bahnhof Dießen,7.0,node/13796821,Q14548179,"railway_stations,industrial_facilities,interesting_places",11.108,47.9503,Alemania
N1385129809,Fort St. Joseph (Ontario),7.0,node/1385129809,Q1150167,"fortifications,historic,interesting_places,other_fortifications",-83.9456,46.0639,Canada
N1388012624,Uncle Tom's Cabin Historic Site,7.0,node/1388012624,Q7882821,"cultural,museums,interesting_places,open_air_museums",-82.1965,42.5852,Canada
N1388665716,Appleby,7.0,node/1388665716,Q2169384,"railway_stations,industrial_facilities,interesting_places",-2.48654,54.5804,United Kingdom
N1392107005,Anavatos,7.0,node/1392107005,Q21682902,"architecture,historic_architecture,historic,historical_places,interesting_places,destroyed_objects,historic_settlements",26.02,38.4027,Grecia
N1395339856,Dolmen de Curton,7.0,node/1395339856,Q3034007,"megaliths,historic,dolmens,monuments_and_memorials,archaeology,burial_places,interesting_places,monuments",-0.157539,44.7723,France
N1395994502,Maclean’s Cross,7.0,node/1395994502,Q2337518,"other,unclassified_objects,interesting_places,historic_object",-6.39334,56.3324,United Kingdom
N1397568188,Wat Chedi Sao Lang,7.0,node/1397568188,Q16004209,"religion,buddhist_temples,interesting_places",99.5149,18.3222,Tailandia
N1398914878,Orientierungstafel Wegelnburg,7.0,node/1398914878,Q883128,"fortifications,historic,interesting_places,castles",7.78699,49.0613,Alemania
N1399749393,Camphill Column,7.0,node/1399749393,Q5028353,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",-1.71516,55.4049,United Kingdom
N1402220023,Dolmen de La Pastora,7.0,node/1402220023,Q1235860,"historic,dolmens,monuments_and_memorials,archaeology,burial_places,interesting_places,other_archaeological_sites,monuments",-6.06457,37.4132,España
N1405204674,Wat Yai Ban Bo,7.0,node/1405204674,Q98114782,"religion,buddhist_temples,interesting_places",100.183,13.513,Tailandia
N1405238265,Rimski most,7.0,node/1405238265,Q80593,"bridges,architecture,historic,archaeology,interesting_places,other_archaeological_sites,other_bridges",18.2861,43.8316,Bosnia y Herzegovina
N1406262013,David of Sasun,7.0,node/1406262013,Q16364238,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",44.5095,40.1553,Armenia
N1408514496,Filovci,7.0,node/1408514496,Q283093,"historic,historical_places,interesting_places,historic_settlements",16.2989,46.6616,Eslovenia
N14099055,George Palmer,7.0,node/14099055,Q20712276,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments",-0.938616,51.4519,United Kingdom
N1410226586,Harichavank Monastery,7.0,node/1410226586,Q2671727,"religion,churches,monasteries,interesting_places,other_churches",43.9997,40.6065,Armenia
N1410597963,Farol de Aveiro,7.0,node/1410597963,Q3134299,"lighthouses,architecture,towers,interesting_places,other_towers",-8.74788,40.6428,Portugal
N1412651663,Museo Taima Taima,3.0,node/1412651663,Q3514036,"historic,archaeology,cultural,museums,interesting_places,other_museums,other_archaeological_sites",-69.522,11.4992,Venezuela
N1412962093,San Benedetto Po,7.0,node/1412962093,Q42943,"historic,historical_places,interesting_places,historic_settlements",10.9283,45.0419,Italia
N1413746245,Iglesia de La Merced,7.0,node/1413746245,Q5912483,"religion,churches,interesting_places,other_churches",-79.0269,-8.11123,Argentina
N1415573669,Baile Hill,7.0,node/1415573669,Q4848305,"fortifications,historic,archaeology,interesting_places,castles,other_archaeological_sites",-1.08312,53.9541,United Kingdom
N1415958734,Andranik,7.0,node/1415958734,Q20513295,"historic,monuments_and_memorials,interesting_places,monuments",43.8446,40.781,Armenia
N1415969663,Mother Armenia,7.0,node/1415969663,Q18128210,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",43.8247,40.7805,Armenia
N1416912069,Vanis Kvabebi,7.0,node/1416912069,Q2304053,"religion,architecture,historic_architecture,monasteries,interesting_places,destroyed_objects",43.3076,41.3816,Geogia
N1418280061,Basílica del Sagrado Corazón de Jesús,1.0,node/1418280061,-1,"religion,other_temples,interesting_places",-78.6457,-1.674,Ecuador
N1418367390,Museos Casa de la Cultura,1.0,node/1418367390,-1,"cultural,museums,interesting_places,other_museums",-78.6528,-1.67041,Ecuador
N1419026328,Burgstall Falken,7.0,node/1419026328,Q1015736,"fortifications,historic,archaeology,interesting_places,castles,other_archaeological_sites",10.2748,47.88,Alemania
N1420063232,Châtel-Saint-Denis,7.0,node/1420063232,Q69517,"historic,historical_places,interesting_places,historic_settlements",6.89965,46.5265,Alemania
N1420739752,Former Hotta Estate,7.0,node/1420739752,Q11511015,"cultural,museums,interesting_places,other_museums",140.236,35.7141,Japón
